,Title,Type,Price,Location,Bathrooms,Size,Purpose,Bedrooms,Property Added
0,1000 SQ Yd Bungalow For Sale In DHA Phase 5,House,PKR22 Crore,"DHA Defence, Karachi, Sindh",3,"1,000 Sq. Yd.",For Sale,3,1 day ago
1,400 Square Yards House In Beautiful Location Of Gulistan-e-Jauhar - Block 2 In Karachi,House,PKR9.5 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",3,400 Sq. Yd.,For Sale,3,1 day ago
2,Bukhari Commercial Luxury Apartment Available For Sale,Flat,PKR1.95 Crore,"DHA Defence, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,3 hours ago
3,272 Sq Yd Villa In Precicnt-8 FOR SALE. Most Developing Precinct Of BTK Near Bahria Heights And Grand Mosque,House,PKR3.6 Crore,"Bahria Town Karachi, Karachi, Sindh",6,272 Sq. Yd.,For Sale,6,1 day ago
4,2 BED BRAND NEW APARTMENT FOR SALE IN EMAAR REEF TOWER,Flat,PKR6 Crore,"DHA Defence, Karachi, Sindh",2,182 Sq. Yd.,For Sale,2,1 day ago
5,Corner 100 Square Yards House In DHA Phase 7 Extension For sale At Good Location,House,PKR3.6 Crore,"DHA Defence, Karachi, Sindh",4,100 Sq. Yd.,For Sale,4,1 day ago
6,Prime Location 2400 Square Feet Flat In Tipu Sultan Road,Flat,PKR8 Crore,"Tipu Sultan Road, Karachi, Sindh",4,267 Sq. Yd.,For Sale,4,1 day ago
7,"Haroon 
Royal City
 West Open Apartment Available For Sale In Gulistan e Jouhar Block 17 karachi",Flat,PKR95 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",4,183 Sq. Yd.,For Sale,3,1 day ago
8,This Is Your Chance To Buy House In Saima Elite Villas Karachi,House,PKR2.9 Crore,"Malir, Karachi, Sindh",3,160 Sq. Yd.,For Sale,4,1 day ago
9,HASAN CENTER FLAT FOR SALE SECOND FLOOR 4 BED DD WEST EXTRA WORK BOUNDARIES TILES FLOORING NEW KITCHEN SECURITY GUARD INTEREST PERSON CALL NO BROKER AT BLOCK 16 GULSHAN. E IQBAL,Flat,PKR4 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",4,222 Sq. Yd.,For Sale,4,1 day ago
